Time,State,Interpreted
10:44:30,2,Awake
10:45:30,3,Very Awake
10:46:30,3,Very Awake
10:47:30,3,Very Awake
10:48:30,2,Awake
10:49:30,1,Asleep
10:50:30,1,Asleep
10:51:30,1,Asleep
10:52:30,1,Asleep
10:53:30,1,Asleep
10:54:30,1,Asleep
10:55:30,1,Asleep
10:56:30,1,Asleep
10:57:30,1,Asleep
10:58:30,1,Asleep
10:59:30,1,Asleep
11:00:30,1,Asleep
11:01:30,1,Asleep
11:02:30,1,Asleep
11:03:30,1,Asleep
11:04:30,1,Asleep
11:05:30,1,Asleep
11:06:30,1,Asleep
11:07:30,1,Asleep
11:08:30,1,Asleep
11:09:30,1,Asleep
11:10:30,1,Asleep
11:11:30,1,Asleep
11:12:30,1,Asleep
11:13:30,1,Asleep
11:14:30,1,Asleep
11:15:30,1,Asleep
11:16:30,1,Asleep
11:17:30,1,Asleep
11:18:30,1,Asleep
11:19:30,1,Asleep
11:20:30,2,Awake
11:21:30,2,Awake
11:22:30,2,Awake
11:23:30,2,Awake
11:24:30,1,Asleep
11:25:30,1,Asleep
11:26:30,1,Asleep
11:27:30,1,Asleep
11:28:30,1,Asleep
11:29:30,1,Asleep
11:30:30,1,Asleep
11:31:30,1,Asleep
11:32:30,1,Asleep
11:33:30,1,Asleep
11:34:30,1,Asleep
11:35:30,1,Asleep
11:36:30,1,Asleep
11:37:30,1,Asleep
11:38:30,1,Asleep
11:39:30,1,Asleep
11:40:30,1,Asleep
11:41:30,1,Asleep
11:42:30,1,Asleep
11:43:30,1,Asleep
11:44:30,1,Asleep
11:45:30,1,Asleep
11:46:30,1,Asleep
11:47:30,1,Asleep
11:48:30,1,Asleep
11:49:30,1,Asleep
11:50:30,1,Asleep
11:51:30,2,Awake
11:52:30,2,Awake
11:53:30,1,Asleep
11:54:30,1,Asleep
11:55:30,1,Asleep
11:56:30,1,Asleep
11:57:30,2,Awake
11:58:30,2,Awake
11:59:30,1,Asleep
12:00:30,1,Asleep
12:01:30,1,Asleep
12:02:30,2,Awake
12:03:30,1,Asleep
12:04:30,1,Asleep
12:05:30,1,Asleep
12:06:30,1,Asleep
12:07:30,1,Asleep
12:08:30,1,Asleep
12:09:30,1,Asleep
12:10:30,1,Asleep
12:11:30,1,Asleep
12:12:30,1,Asleep
12:13:30,1,Asleep
12:14:30,1,Asleep
12:15:30,1,Asleep
12:16:30,1,Asleep
12:17:30,1,Asleep
12:18:30,1,Asleep
12:19:30,1,Asleep
12:20:30,1,Asleep
12:21:30,1,Asleep
12:22:30,1,Asleep
12:23:30,1,Asleep
12:24:30,1,Asleep
12:25:30,1,Asleep
12:26:30,1,Asleep
12:27:30,1,Asleep
12:28:30,1,Asleep
12:29:30,1,Asleep
12:30:30,1,Asleep
12:31:30,1,Asleep
12:32:30,1,Asleep
12:33:30,2,Awake
12:34:30,2,Awake
12:35:30,2,Awake
12:36:30,1,Asleep
12:37:30,1,Asleep
12:38:30,1,Asleep
12:39:30,1,Asleep
12:40:30,1,Asleep
12:41:30,1,Asleep
12:42:30,1,Asleep
12:43:30,1,Asleep
12:44:30,1,Asleep
