Time,Distance
00:00:00,0.04523582383990288
00:01:00,0.05455639213323593
00:02:00,0.05903026461601257
00:03:00,0.07667720317840576
00:04:00,0.0536864697933197
00:05:00,0.05412143096327782
00:06:00,0.05281655117869377
00:07:00,0.04921259731054306
00:08:00,0.047410622239112854
00:09:00,0.0474727600812912
00:10:00,0.04436590149998665
00:11:00,0.048777639865875244
00:12:00,0.04299888759851456
00:13:00,0.019448919221758842
00:14:00,0.011060407385230064
00:15:00,0.0
00:16:00,0.0
00:17:00,0.0
00:18:00,0.0
00:19:00,0.0
00:20:00,0.002174799097701907
00:21:00,0.0
00:22:00,0.0
00:23:00,0.0
00:24:00,0.010128349997103214
00:25:00,0.015472142957150936
00:26:00,0.0008699196623638272
00:27:00,0.015907103195786476
00:28:00,0.0035418157931417227
00:29:00,0.0048466953448951244
00:30:00,0.01373230293393135
00:31:00,0.01236528716981411
00:32:00,0.015472142957150936
00:33:00,0.013235206715762615
00:34:00,0.004411735571920872
00:35:00,0.011060407385230064
00:36:00,0.007083631586283445
00:37:00,0.0
00:38:00,0.019448919221758842
00:39:00,0.0
00:40:00,0.007518591359257698
00:41:00,0.006586534436792135
00:42:00,0.003976775798946619
00:43:00,0.0048466953448951244
00:44:00,0.0
00:45:00,0.0
00:46:00,0.004411735571920872
00:47:00,0.023425694555044174
00:48:00,0.03324335813522339
00:49:00,0.04212896525859833
00:50:00,0.02522766962647438
00:51:00,0.0061515746638178825
00:52:00,0.0
00:53:00,0.030136503279209137
00:54:00,0.010625447146594524
00:55:00,0.00571661489084363
00:56:00,0.00571661489084363
00:57:00,0.009258430451154709
00:58:00,0.0
00:59:00,0.00571661489084363
01:00:00,0.0
01:01:00,0.0
01:02:00,0.007953551597893238
01:03:00,0.0
01:04:00,0.007021494675427675
01:05:00,0.010190487839281559
01:06:00,0.012800246477127075
01:07:00,0.013235206715762615
01:08:00,0.011060407385230064
01:09:00,0.006586534436792135
01:10:00,0.005281655117869377
01:11:00,0.008388510905206203
01:12:00,0.0
01:13:00,0.0
01:14:00,0.0
01:15:00,0.0
01:16:00,0.0
01:17:00,0.0
01:18:00,0.0
01:19:00,0.0
01:20:00,0.0
01:21:00,0.0
01:22:00,0.0
01:23:00,0.0
01:24:00,0.0
01:25:00,0.0
01:26:00,0.0
01:27:00,0.0
01:28:00,0.0
01:29:00,0.0
01:30:00,0.0
01:31:00,0.0
01:32:00,0.0
01:33:00,0.0
01:34:00,0.0
01:35:00,0.0
01:36:00,0.0
01:37:00,0.0
01:38:00,0.0
01:39:00,0.0
01:40:00,0.0
01:41:00,0.0
01:42:00,0.0
01:43:00,0.0
01:44:00,0.0
01:45:00,0.0
01:46:00,0.0
01:47:00,0.0
01:48:00,0.0
01:49:00,0.0
01:50:00,0.0
01:51:00,0.0
01:52:00,0.0
01:53:00,0.0
01:54:00,0.0
01:55:00,0.0
01:56:00,0.0
01:57:00,0.0
01:58:00,0.0
01:59:00,0.0
02:00:00,0.0
02:01:00,0.0
02:02:00,0.0
02:03:00,0.0
02:04:00,0.0
02:05:00,0.0
02:06:00,0.0
02:07:00,0.0
02:08:00,0.0
02:09:00,0.0
02:10:00,0.0
02:11:00,0.0
02:12:00,0.0
02:13:00,0.0
02:14:00,0.0
02:15:00,0.0
02:16:00,0.0
02:17:00,0.0
02:18:00,0.0
02:19:00,0.0
02:20:00,0.0
02:21:00,0.0
02:22:00,0.0
02:23:00,0.0
02:24:00,0.0
02:25:00,0.0
02:26:00,0.0
02:27:00,0.0
02:28:00,0.0
02:29:00,0.0
02:30:00,0.0
02:31:00,0.0
02:32:00,0.0
02:33:00,0.0
02:34:00,0.0
02:35:00,0.0
02:36:00,0.0
02:37:00,0.0
02:38:00,0.0
02:39:00,0.0
02:40:00,0.0
02:41:00,0.0
02:42:00,0.0
02:43:00,0.0
02:44:00,0.0
02:45:00,0.0
02:46:00,0.0
02:47:00,0.0
02:48:00,0.0
02:49:00,0.0
02:50:00,0.0
02:51:00,0.0
02:52:00,0.0
02:53:00,0.0
02:54:00,0.0
02:55:00,0.0
02:56:00,0.0
02:57:00,0.0
02:58:00,0.0
02:59:00,0.0
03:00:00,0.0
03:01:00,0.0
03:02:00,0.0
03:03:00,0.0
03:04:00,0.0
03:05:00,0.0
03:06:00,0.0
03:07:00,0.0
03:08:00,0.0
03:09:00,0.0
03:10:00,0.0
03:11:00,0.0
03:12:00,0.0
03:13:00,0.0
03:14:00,0.0
03:15:00,0.0
03:16:00,0.0
03:17:00,0.0
03:18:00,0.0
03:19:00,0.0
03:20:00,0.0
03:21:00,0.0
03:22:00,0.0
03:23:00,0.0
03:24:00,0.0
03:25:00,0.0
03:26:00,0.0
03:27:00,0.0
03:28:00,0.0
03:29:00,0.0
03:30:00,0.0
03:31:00,0.0
03:32:00,0.0
03:33:00,0.0
03:34:00,0.0
03:35:00,0.0
03:36:00,0.0
03:37:00,0.0
03:38:00,0.0
03:39:00,0.0
03:40:00,0.0
03:41:00,0.0
03:42:00,0.0
03:43:00,0.0
03:44:00,0.0
03:45:00,0.0
03:46:00,0.0
03:47:00,0.0
03:48:00,0.0
03:49:00,0.0
03:50:00,0.0
03:51:00,0.0
03:52:00,0.0
03:53:00,0.0
03:54:00,0.0
03:55:00,0.0
03:56:00,0.0
03:57:00,0.0
03:58:00,0.0
03:59:00,0.0
04:00:00,0.0
04:01:00,0.0
04:02:00,0.0
04:03:00,0.0
04:04:00,0.0
04:05:00,0.0
04:06:00,0.0
04:07:00,0.0
04:08:00,0.0
04:09:00,0.0
04:10:00,0.0
04:11:00,0.0
04:12:00,0.0
04:13:00,0.0
04:14:00,0.0
04:15:00,0.0
04:16:00,0.0
04:17:00,0.0
04:18:00,0.0
04:19:00,0.0
04:20:00,0.0
04:21:00,0.0
04:22:00,0.0
04:23:00,0.0
04:24:00,0.0
04:25:00,0.0
04:26:00,0.0
04:27:00,0.0
04:28:00,0.0
04:29:00,0.0
04:30:00,0.0
04:31:00,0.0
04:32:00,0.0
04:33:00,0.0
04:34:00,0.0
04:35:00,0.0
04:36:00,0.0
04:37:00,0.0
04:38:00,0.0
04:39:00,0.0
04:40:00,0.0
04:41:00,0.0
