Time,State,Interpreted
22:58:00,2,Awake
22:59:00,3,Very Awake
23:00:00,3,Very Awake
23:01:00,3,Very Awake
23:02:00,3,Very Awake
23:03:00,3,Very Awake
23:04:00,2,Awake
23:05:00,2,Awake
23:06:00,1,Asleep
23:07:00,1,Asleep
23:08:00,2,Awake
23:09:00,1,Asleep
23:10:00,1,Asleep
23:11:00,1,Asleep
23:12:00,1,Asleep
23:13:00,1,Asleep
23:14:00,1,Asleep
23:15:00,1,Asleep
23:16:00,1,Asleep
23:17:00,1,Asleep
23:18:00,1,Asleep
23:19:00,1,Asleep
23:20:00,1,Asleep
23:21:00,1,Asleep
23:22:00,1,Asleep
23:23:00,1,Asleep
23:24:00,1,Asleep
23:25:00,1,Asleep
23:26:00,1,Asleep
23:27:00,1,Asleep
23:28:00,1,Asleep
23:29:00,1,Asleep
23:30:00,1,Asleep
23:31:00,1,Asleep
23:32:00,1,Asleep
23:33:00,1,Asleep
23:34:00,1,Asleep
23:35:00,1,Asleep
23:36:00,1,Asleep
23:37:00,1,Asleep
23:38:00,1,Asleep
23:39:00,1,Asleep
23:40:00,1,Asleep
23:41:00,1,Asleep
23:42:00,1,Asleep
23:43:00,1,Asleep
23:44:00,1,Asleep
23:45:00,1,Asleep
23:46:00,1,Asleep
23:47:00,1,Asleep
23:48:00,1,Asleep
23:49:00,1,Asleep
23:50:00,1,Asleep
23:51:00,1,Asleep
23:52:00,1,Asleep
23:53:00,2,Awake
23:54:00,1,Asleep
23:55:00,1,Asleep
23:56:00,1,Asleep
23:57:00,1,Asleep
23:58:00,1,Asleep
23:59:00,1,Asleep
00:00:00,1,Asleep
00:01:00,1,Asleep
00:02:00,1,Asleep
00:03:00,1,Asleep
00:04:00,1,Asleep
00:05:00,1,Asleep
00:06:00,1,Asleep
00:07:00,1,Asleep
00:08:00,1,Asleep
00:09:00,1,Asleep
00:10:00,1,Asleep
00:11:00,1,Asleep
00:12:00,1,Asleep
00:13:00,1,Asleep
00:14:00,1,Asleep
00:15:00,1,Asleep
00:16:00,1,Asleep
00:17:00,1,Asleep
00:18:00,1,Asleep
00:19:00,1,Asleep
00:20:00,1,Asleep
00:21:00,1,Asleep
00:22:00,1,Asleep
00:23:00,1,Asleep
00:24:00,1,Asleep
00:25:00,1,Asleep
00:26:00,1,Asleep
00:27:00,1,Asleep
00:28:00,1,Asleep
00:29:00,1,Asleep
00:30:00,1,Asleep
00:31:00,1,Asleep
00:32:00,1,Asleep
00:33:00,1,Asleep
00:34:00,1,Asleep
00:35:00,1,Asleep
00:36:00,1,Asleep
00:37:00,1,Asleep
00:38:00,1,Asleep
00:39:00,1,Asleep
00:40:00,1,Asleep
00:41:00,1,Asleep
00:42:00,1,Asleep
00:43:00,1,Asleep
00:44:00,1,Asleep
00:45:00,1,Asleep
00:46:00,1,Asleep
00:47:00,1,Asleep
00:48:00,1,Asleep
00:49:00,1,Asleep
00:50:00,1,Asleep
00:51:00,1,Asleep
00:52:00,1,Asleep
00:53:00,1,Asleep
00:54:00,1,Asleep
00:55:00,1,Asleep
00:56:00,1,Asleep
00:57:00,1,Asleep
00:58:00,1,Asleep
00:59:00,1,Asleep
01:00:00,1,Asleep
01:01:00,1,Asleep
01:02:00,1,Asleep
01:03:00,1,Asleep
01:04:00,1,Asleep
01:05:00,1,Asleep
01:06:00,1,Asleep
01:07:00,1,Asleep
01:08:00,1,Asleep
01:09:00,1,Asleep
01:10:00,1,Asleep
01:11:00,1,Asleep
01:12:00,1,Asleep
01:13:00,1,Asleep
01:14:00,2,Awake
01:15:00,1,Asleep
01:16:00,1,Asleep
01:17:00,1,Asleep
01:18:00,1,Asleep
01:19:00,1,Asleep
01:20:00,1,Asleep
01:21:00,1,Asleep
01:22:00,1,Asleep
01:23:00,1,Asleep
01:24:00,1,Asleep
01:25:00,1,Asleep
01:26:00,1,Asleep
01:27:00,1,Asleep
01:28:00,1,Asleep
01:29:00,1,Asleep
01:30:00,1,Asleep
01:31:00,1,Asleep
01:32:00,1,Asleep
01:33:00,1,Asleep
01:34:00,1,Asleep
01:35:00,1,Asleep
01:36:00,1,Asleep
01:37:00,1,Asleep
01:38:00,1,Asleep
01:39:00,1,Asleep
01:40:00,1,Asleep
01:41:00,1,Asleep
01:42:00,1,Asleep
01:43:00,1,Asleep
01:44:00,1,Asleep
01:45:00,1,Asleep
01:46:00,1,Asleep
01:47:00,1,Asleep
