Time,State,Interpreted
17:29:30,3,Very Awake
17:30:30,2,Awake
17:31:30,2,Awake
17:32:30,2,Awake
17:33:30,3,Very Awake
17:34:30,1,Asleep
17:35:30,1,Asleep
17:36:30,1,Asleep
17:37:30,1,Asleep
17:38:30,1,Asleep
17:39:30,1,Asleep
17:40:30,1,Asleep
17:41:30,1,Asleep
17:42:30,1,Asleep
17:43:30,1,Asleep
17:44:30,1,Asleep
17:45:30,1,Asleep
17:46:30,1,Asleep
17:47:30,1,Asleep
17:48:30,1,Asleep
17:49:30,1,Asleep
17:50:30,1,Asleep
17:51:30,1,Asleep
17:52:30,1,Asleep
17:53:30,1,Asleep
17:54:30,1,Asleep
17:55:30,1,Asleep
17:56:30,1,Asleep
17:57:30,1,Asleep
17:58:30,1,Asleep
17:59:30,1,Asleep
18:00:30,1,Asleep
18:01:30,1,Asleep
18:02:30,1,Asleep
18:03:30,1,Asleep
18:04:30,1,Asleep
18:05:30,1,Asleep
18:06:30,1,Asleep
18:07:30,1,Asleep
18:08:30,1,Asleep
18:09:30,1,Asleep
18:10:30,1,Asleep
18:11:30,1,Asleep
18:12:30,1,Asleep
18:13:30,1,Asleep
18:14:30,1,Asleep
18:15:30,1,Asleep
18:16:30,1,Asleep
18:17:30,1,Asleep
18:18:30,1,Asleep
18:19:30,1,Asleep
18:20:30,1,Asleep
18:21:30,1,Asleep
18:22:30,1,Asleep
18:23:30,1,Asleep
18:24:30,1,Asleep
18:25:30,1,Asleep
18:26:30,1,Asleep
18:27:30,1,Asleep
18:28:30,1,Asleep
18:29:30,1,Asleep
18:30:30,1,Asleep
18:31:30,1,Asleep
18:32:30,1,Asleep
18:33:30,1,Asleep
18:34:30,1,Asleep
18:35:30,1,Asleep
18:36:30,1,Asleep
18:37:30,1,Asleep
18:38:30,1,Asleep
18:39:30,1,Asleep
18:40:30,1,Asleep
18:41:30,1,Asleep
18:42:30,1,Asleep
18:43:30,1,Asleep
18:44:30,1,Asleep
18:45:30,2,Awake
18:46:30,1,Asleep
18:47:30,1,Asleep
18:48:30,1,Asleep
18:49:30,1,Asleep
18:50:30,1,Asleep
18:51:30,1,Asleep
18:52:30,1,Asleep
18:53:30,1,Asleep
18:54:30,1,Asleep
18:55:30,1,Asleep
18:56:30,1,Asleep
18:57:30,1,Asleep
18:58:30,1,Asleep
18:59:30,1,Asleep
19:00:30,1,Asleep
19:01:30,1,Asleep
19:02:30,1,Asleep
19:03:30,1,Asleep
19:04:30,1,Asleep
19:05:30,1,Asleep
19:06:30,1,Asleep
19:07:30,1,Asleep
19:08:30,1,Asleep
19:09:30,1,Asleep
19:10:30,1,Asleep
19:11:30,1,Asleep
19:12:30,1,Asleep
19:13:30,1,Asleep
19:14:30,1,Asleep
19:15:30,1,Asleep
19:16:30,1,Asleep
19:17:30,1,Asleep
19:18:30,1,Asleep
19:19:30,1,Asleep
19:20:30,1,Asleep
19:21:30,1,Asleep
19:22:30,1,Asleep
19:23:30,1,Asleep
19:24:30,1,Asleep
19:25:30,1,Asleep
19:26:30,1,Asleep
19:27:30,1,Asleep
19:28:30,1,Asleep
19:29:30,1,Asleep
19:30:30,1,Asleep
19:31:30,1,Asleep
19:32:30,1,Asleep
19:33:30,1,Asleep
19:34:30,1,Asleep
19:35:30,1,Asleep
19:36:30,1,Asleep
19:37:30,1,Asleep
19:38:30,1,Asleep
19:39:30,1,Asleep
19:40:30,1,Asleep
19:41:30,1,Asleep
19:42:30,1,Asleep
19:43:30,1,Asleep
19:44:30,1,Asleep
19:45:30,1,Asleep
19:46:30,1,Asleep
19:47:30,1,Asleep
19:48:30,1,Asleep
19:49:30,1,Asleep
19:50:30,1,Asleep
19:51:30,1,Asleep
19:52:30,1,Asleep
19:53:30,1,Asleep
19:54:30,1,Asleep
19:55:30,1,Asleep
19:56:30,1,Asleep
19:57:30,1,Asleep
19:58:30,1,Asleep
19:59:30,1,Asleep
20:00:30,1,Asleep
20:01:30,1,Asleep
20:02:30,1,Asleep
20:03:30,1,Asleep
20:04:30,1,Asleep
20:05:30,1,Asleep
20:06:30,1,Asleep
20:07:30,1,Asleep
20:08:30,1,Asleep
20:09:30,1,Asleep
20:10:30,1,Asleep
20:11:30,1,Asleep
20:12:30,1,Asleep
20:13:30,1,Asleep
20:14:30,1,Asleep
20:15:30,1,Asleep
20:16:30,1,Asleep
20:17:30,1,Asleep
20:18:30,2,Awake
20:19:30,2,Awake
20:20:30,2,Awake
20:21:30,2,Awake
20:22:30,2,Awake
